Player ID,First Name,Last Name,Pos1,Pos2,Team,Playing Next,In 2 Rds,In 3 Rds,Playing Next,Owner,Waiver,Free Agent,Trade Status,Total Pts,Rds,Rd Pts,Avg,Avg 3,Avg 5,Status Comment,Player Note
486,Christian,Petracca,FWD,MID,MEL,N/A,N/A,N/A,TryingAnewStratton,,,owner,1788,22,97,81.27,88.33,85.8,N/A,N/A,
330,Luke,Dahlhaus,FWD,MID,GEE,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1788,21,123,85.14,97.33,85.4,N/A,Dahlhaus was quiet in game one but had 118 in game two. His price is awkward if he isn't going to be scoring over 75 each week.,
409,Lachie,Whitfield,DEF,,GWS,N/A,N/A,N/A,Fire The Worpedo,,,owner,1780,16,159,111.25,121,112.4,N/A,Whitfield was a popular choice in our defence this season and he delivered with 30 touches. He seems to have a role that will assist him with this level of scoring going forward.,
605,Shane,Edwards,FWD,MID,RIC,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1771,21,91,84.33,112.33,104.2,N/A,N/A,
664,Tim,Membrey,FWD,,STK,N/A,N/A,N/A,Swimming n Titch,,,owner,1768,22,80,80.36,81.67,87.2,N/A,N/A,
431,Ben,McEvoy,RUC,,HAW,N/A,N/A,N/A,Casting Crouch,,,owner,1762,19,35,92.74,68.67,96,N/A,N/A,
510,Trent,Dumont,MID,,NTH,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1760,21,84,83.81,72.67,82.4,N/A,N/A,
161,Brayden,Maynard,DEF,,COL,N/A,N/A,N/A,Swimming n Titch,,,owner,1758,22,57,79.91,90.33,88,N/A,N/A,
54,Charlie,Cameron,FWD,,BRL,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1755,22,38,79.77,82.67,86.4,N/A,N/A,
504,Ben,Brown,FWD,,NTH,N/A,N/A,N/A,Barbeques Treloar,,,owner,1750,22,93,79.55,91.33,88.6,N/A,N/A,
526,Jasper,Pittard,DEF,,NTH,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1750,22,103,79.55,94.33,83.2,N/A,N/A,
423,Blake,Hardwick,DEF,,HAW,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1738,22,83,79,75.67,77,N/A,N/A,
607,Brandon,Ellis,DEF,,RIC,N/A,N/A,N/A,Fire The Worpedo,,,owner,1734,20,63,86.7,87,76.2,N/A,N/A,
715,Sam,Reid,FWD,,SYD,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1726,22,68,78.45,85.33,71.8,N/A,N/A,
262,Luke,Ryan,DEF,,FRE,N/A,N/A,N/A,Swimming n Titch,,,owner,1725,18,0,95.83,84.33,76.4,N/A,A solid return for Ryann in the JLT with two in the 80s. He doesn't come cheap but scores like this will certainly make him a solid unique selection.,
711,Tom,Papley,FWD,,SYD,N/A,N/A,N/A,Barbeques Treloar,,,owner,1724,22,92,78.36,75.67,70,N/A,N/A,
116,Marc,Murphy,MID,,CAR,N/A,N/A,N/A,TryingAnewStratton,,,owner,1723,19,128,90.68,109,106.6,N/A,N/A,
688,Jordan,Dawson,MID,,SYD,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1723,20,114,86.15,94.67,96.4,N/A,N/A,
33,Reilly,O'Brien,RUC,,ADE,N/A,N/A,N/A,Swimming n Titch,,,owner,1715,18,0,95.28,80.67,92.8,N/A,N/A,
356,Joel,Selwood,MID,,GEE,N/A,N/A,N/A,Barbeques Treloar,,,owner,1715,20,47,85.75,61.33,81.6,N/A,Selwood had a night out against the Bombers in JLT2. 38 touches 11 marks and 7 tackles is a great return particularly in a practice game.,
221,Adam,Saad,DEF,,ESS,N/A,N/A,N/A,Man of Steele,,,owner,1715,21,49,81.67,71.33,73.8,N/A,N/A,
218,Darcy,Parish,FWD,MID,ESS,N/A,N/A,N/A,DEVQON.1,,,owner,1714,20,86,85.7,73,75.2,N/A,N/A,
585,Connor,Rozee,DEF,FWD,PTA,N/A,N/A,N/A,Barbeques Treloar,,,owner,1710,22,85,77.73,91.67,90.2,N/A,Rozee had a great debut with 18 touches at 77% and 5 tackles. He is a higher priced rookie but showed more here than he did in the JLT.,
681,Aliir,Aliir,DEF,,SYD,N/A,N/A,N/A,DEVQON.1,,,owner,1706,22,68,77.55,75,76,N/A,N/A,
674,Jack,Sinclair,MID,,STK,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1703,22,84,77.41,75,78,N/A,N/A,
496,Jack,Viney,MID,,MEL,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1699,21,62,80.9,87,80.4,N/A,N/A,
746,Sam,Lloyd,MID,,WBD,N/A,N/A,N/A,TryingAnewStratton,,,owner,1698,22,63,77.18,69,70.4,N/A,N/A,
413,Luke,Breust,FWD,,HAW,N/A,N/A,N/A,Casting Crouch,,,owner,1694,22,126,77,83.67,68,N/A,N/A,
757,Bailey,Smith,MID,,WBD,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1685,22,87,76.59,89,88,N/A,Smith had a slow start to his career with just the 8 possessions at 62% efficiency. If you have him the bench is the best spot for now.,
732,Caleb,Daniel,FWD,,WBD,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1684,17,0,99.06,84.67,91.2,N/A,N/A,
210,Conor,McKenna,DEF,,ESS,N/A,N/A,N/A,DEVQON.1,,,owner,1677,21,141,79.86,97,89.4,N/A,N/A,
461,Bayley,Fritsch,MID,,MEL,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1677,22,99,76.23,77.33,78.8,N/A,N/A,
649,Luke,Dunstan,MID,,STK,N/A,N/A,N/A,Salt&VinegarCripps,,,owner,1675,18,114,93.06,86.33,85,N/A,N/A,
384,Nick,Haynes,DEF,,GWS,N/A,N/A,N/A,Barbeques Treloar,,,owner,1661,19,0,87.42,110,94.6,N/A,N/A,
208,Anthony,McDonald-Tipungwuti,FWD,,ESS,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1659,22,127,75.41,89,77.8,N/A,N/A,
449,Liam,Shiels,MID,,HAW,N/A,N/A,N/A,TryingAnewStratton,,,owner,1650,19,96,86.84,100.33,92,N/A,N/A,
132,Dale,Thomas,DEF,,CAR,N/A,N/A,N/A,Casting Crouch,,,owner,1649,20,91,82.45,108.67,102.2,N/A,N/A,
23,Jake,Kelly,DEF,,ADE,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1646,22,45,74.82,60.67,68.4,N/A,N/A,
390,Josh,Kelly,MID,,GWS,N/A,N/A,N/A,TryingAnewStratton,,,owner,1644,14,124,117.43,104,108.8,N/A,N/A,
584,Tom,Rockliff,MID,,PTA,N/A,N/A,N/A,DEVQON.1,,,owner,1642,18,71,91.22,70.67,80.6,N/A,Rockliff will be targeted by many coaches this week as he was everywhere with 44 touches and 8 tackles. Another week like this will see him the most traded in at round 3.,
288,Jarrod,Harbrow,DEF,,GCS,N/A,N/A,N/A,Casting Crouch,,,owner,1622,21,64,77.24,66,65.2,N/A,N/A,
209,Andrew,McGrath,DEF,MID,ESS,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1618,22,88,73.55,72.33,70.6,N/A,N/A,
268,Darcy,Tucker,MID,,FRE,N/A,N/A,N/A,,Tue 27th 4am,,waiver,1614,22,68,73.36,63,68.2,N/A,Tucker had a great game with a couple of goals and 24 touches but the Dockers won't have the game on their own terms like this each week so just be careful.,
